Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,USG%,_key,Salary_Millions,Expected_PER,Efficiency_Surplus,Surplus_Rank,PER_Rank,Salary_Rank,PVI,Salary_Tier,Value_Label,Player_display
31,James Harden,35,LAC,PG,79,79,35.3,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,20.0,29.6,james harden,33.653846,18.31137141427166,1.69,54,28,34,1.4738285781660734,Superstar (>=25M),Undervalued,James Harden
32,Jaylen Brown,28,BOS,SF,63,63,34.3,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,17.8,28.9,jaylen brown,49.2058,21.008877318118643,-3.21,166,55,5,0.9490751090318621,Superstar (>=25M),Overpaid,Jaylen Brown
33,DeMar DeRozan,35,SAC,SF,77,77,35.9,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,17.7,25.0,demar derozan,23.4,16.5666413394098,1.13,62,58,54,1.824786324786325,Star (15-25M),Fair Value,DeMar DeRozan
35,Jaren Jackson Jr.,25,MEM,C,74,74,29.8,8.0,16.4,0.488,2.0,5.3,0.375,6.0,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,19.6,28.1,jaren jackson jr,25.257798,16.88075941429417,2.72,39,35,50,1.8885256743283798,Superstar (>=25M),Undervalued,Jaren Jackson Jr.
36,Norman Powell,31,LAC,SG,60,60,32.6,7.6,15.8,0.484,3.0,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,17.5,26.1,norman powell,19.241379,15.866695262497071,1.63,57,65,69,2.265949857336109,Star (15-25M),Undervalued,Norman Powell
37,Jalen Williams,23,OKC,SG,69,69,32.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12.0,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,20.3,27.5,jalen williams,4.77576,13.466383125549395,6.83,11,24,148,10.008878168082148,Minimum/Vet (<5M),STEAL,Jalen Williams
39,Jamal Murray,27,DEN,PG,67,67,36.1,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.3,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,17.8,24.0,jamal murray,36.0162,18.717143163626492,-0.92,117,55,24,1.1605888461303524,Superstar (>=25M),Fair Value,Jamal Murray
40,Trey Murphy III,24,NOP,SF,53,51,35.0,7.2,15.8,0.454,3.0,8.3,0.361,4.2,7.6,0.556,0.548,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,17.3,23.7,trey murphy iii,5.159854,13.529425563879022,3.77,29,68,147,7.945961261694614,Role Player (5-15M),Undervalued,Trey Murphy III
41,RJ Barrett,24,TOR,SF,58,58,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,16.5,28.7,rj barrett,25.794643,16.971693897132774,-0.47,100,75,48,1.7523018248401423,Superstar (>=25M),Fair Value,RJ Barrett
42,CJ McCollum,33,NOP,PG,56,56,32.7,7.9,17.9,0.444,3.1,8.2,0.373,4.9,9.7,0.505,0.53,2.2,3.1,0.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1,15.8,27.2,cj mccollum,33.333333,18.256428104869933,-2.46,154,83,35,1.2900000129,Superstar (>=25M),Overpaid,CJ McCollum
